"Informazioni cronologiche","A chi regaleresti un cesto natalizio?","(1) - Scegli un cesto tra:","(2) - Scegli un cesto tra:","(3) - Scegli un cesto tra:","(4) - Scegli un cesto tra:","(5) - Scegli un cesto tra:","(6) - Scegli un cesto tra:","(7) - Scegli un cesto tra:","(8) - Scegli un cesto tra:","Quanti anni hai?","Qual è la tua occupazione?","Genere","Provincia di residenza (es: TN):","Un'ultima domanda importantissima :)"
"2019/12/15 12:55:34 PM CET","Parente","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Spumante, Salame, Miele,       - 13 euro","57","Altro","F","Vi","Team Pandoro"
"2019/12/15 12:56:46 PM CET","Famiglia del partner","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Spumante, Salame, Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Torrone, Grana - 20 euro","Pandoro, Spumante, Salame,  Miele       - 20 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Spumante, Salame, Miele,       - 13 euro","23","Lavoratore","F","Vi","Team Pandoro"
"2019/12/15 12:58:31 PM CET","Famiglia del partner","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele                              - 20 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Spumante, Salame, Miele,       - 13 euro","23","Lavoratore","M","VI","Team Pandoro"
"2019/12/15 12:59:11 PM CET","Parente","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele                              - 20 euro","Pandoro, Spumante, Salame, Cioccolatini, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","29","Lavoratore","F","Estero ","Team Pandoro"
"2019/12/15 1:02:42 PM CET","Parente","Panettone, Passito, Cioccolatini, Miele, Grana  - 20 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele                              - 20 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","58","Lavoratore","F","Vi","Team Panettone"
"2019/12/15 1:02:44 PM CET","Famiglia del partner","Pandoro, Passito, Torrone, Grana                  - 13 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","58","Altro","F","Vi","Team Panettone"
"2019/12/15 1:06:40 PM CET","Parente","Panettone, Passito, Cioccolatini, Miele, Grana  - 20 euro","Panettone, Spumante, Cioccolatini, Torrone, Miele - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Pandoro, Spumante, Salame, Cioccolatini, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","58","Lavoratore","F","Vicenza ","Team Pandoro"
"2019/12/15 1:11:11 PM CET","Parente","Pandoro, Passito, Torrone, Grana                  - 13 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Spumante, Salame, Cioccolatini, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","36","Lavoratore","M","Dublin","Team Pandoro"
"2019/12/15 1:19:40 PM CET","Collega","Pandoro, Passito, Torrone, Grana                  - 13 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele                              - 20 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Spumante, Torrone, Grana - 20 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito                    - 13 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","25","Studente","M","TN","Team Panettone"
"2019/12/15 1:20:54 PM CET","Famiglia del partner","Pandoro, Passito, Miele, Grana                - 10 euro","Panettone, Spumante, Cioccolatini, Torrone, Miele - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Spumante, Torrone, Grana - 20 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Panettone,  Passito                    - 13 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","42","Lavoratore","F","Rm","Team Panettone"
"2019/12/15 1:21:15 PM CET","Amico","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","30","Lavoratore","M","RE","Team Pandoro"
"2019/12/15 1:21:19 PM CET","Parente","Panettone, Passito, Cioccolatini, Miele, Grana  - 20 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Pandoro, Spumante, Salame,  Miele       - 20 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","60","Altro","F","Vi","Team Panettone"
"2019/12/15 1:28:34 PM CET","Collega","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Pandoro, Spumante, Salame,  Miele       - 20 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Pandoro, Spumante, Salame, Miele,       - 13 euro","23","Studente","M","TN","Team Pandoro"
"2019/12/15 1:33:24 PM CET","Famiglia del partner","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","24","Studente","M","TN","Team Pandoro"
"2019/12/15 1:33:43 PM CET","Collega","Pandoro, Passito, Torrone, Grana                  - 13 euro","Panettone, Spumante, Cioccolatini, Torrone, Miele - 20 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele                              - 20 euro","Pandoro, Spumante, Salame, Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Torrone, Grana - 20 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","24","Studente","M","Ud","Team Pandoro"
"2019/12/15 1:34:27 PM CET","Parente","Pandoro, Passito, Miele, Grana                - 10 euro","Panettone, Spumante, Cioccolatini, Torrone, Miele - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Spumante, Torrone, Grana - 20 euro","Pandoro, Spumante, Salame,  Miele       - 20 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Pandoro, Spumante, Salame, Miele,       - 13 euro","60","Altro","F","Vi","Team Panettone"
"2019/12/15 1:34:32 PM CET","Collega","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","23","Studente","F","PD","Team Pandoro"
"2019/12/15 1:34:58 PM CET","Famiglia del partner","Panettone, Passito, Cioccolatini, Miele, Grana  - 20 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele                              - 20 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","22","Studente","F","VI","Team Pandoro"
"2019/12/15 1:35:24 PM CET","Famiglia del partner","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Pandoro, Spumante, Salame, Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Torrone, Grana - 20 euro","Pandoro, Spumante, Salame,  Miele       - 20 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","25","Lavoratore","F","Trento","Team Pandoro"
"2019/12/15 1:36:41 PM CET","Parente","Pandoro, Passito, Miele, Grana                - 10 euro","Panettone, Spumante, Cioccolatini, Torrone, Miele - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Pandoro, Spumante, Salame,  Miele       - 20 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","17","Studente","F","Vicenza","Team Panettone"
"2019/12/15 1:37:22 PM CET","Parente","Pandoro, Passito, Miele, Grana                - 10 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Pandoro, Spumante, Salame,  Miele       - 20 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","28","Lavoratore","F","Verona","Team Panettone"
"2019/12/15 1:38:45 PM CET","Amico","Pandoro, Passito, Torrone, Grana                  - 13 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Pandoro, Spumante, Salame, Cioccolatini, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","19","Studente","F","VI","Team Panettone"
"2019/12/15 1:40:08 PM CET","Parente","Pandoro, Passito, Torrone, Grana                  - 13 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito                    - 13 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","21","Studente","F","Treviso ","Team Pandoro"
"2019/12/15 1:41:10 PM CET","Collega","Pandoro, Passito, Torrone, Grana                  - 13 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","23","Studente","F","VI","Team Pandoro"
"2019/12/15 1:45:12 PM CET","Amico","Pandoro, Passito, Torrone, Grana                  - 13 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito                    - 13 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","27","Studente","M","PG","Team Panettone"
"2019/12/15 1:49:38 PM CET","Parente","Pandoro, Passito, Torrone, Grana                  - 13 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Pandoro, Spumante, Salame, Cioccolatini, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","24","Studente","M","MN","Team Pandoro"
"2019/12/15 1:51:37 PM CET","Amico","Pandoro, Passito, Miele, Grana                - 10 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","23","Studente","M","TN","Team Panettone"
"2019/12/15 1:51:52 PM CET","Parente","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Spumante, Salame, Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Torrone, Grana - 20 euro","Pandoro, Spumante, Salame,  Miele       - 20 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Spumante, Salame, Miele,       - 13 euro","24","Studente","M","BL","Team Pandoro"
"2019/12/15 2:01:16 PM CET","Famiglia del partner","Panettone, Passito, Cioccolatini, Miele, Grana  - 20 euro","Panettone, Spumante, Cioccolatini, Torrone, Miele - 20 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele                              - 20 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Spumante, Torrone, Grana - 20 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","24","Studente","F","TN","Team Panettone"
"2019/12/15 2:01:20 PM CET","Collega","Pandoro, Passito, Miele, Grana                - 10 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Pandoro, Spumante, Salame, Cioccolatini, Grana - 20 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","22","Studente","F","VI","Team Panettone"
"2019/12/15 2:03:32 PM CET","Parente","Pandoro, Passito, Torrone, Grana                  - 13 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","35","Lavoratore","F","Irlanda","Team Panettone"
"2019/12/15 2:04:41 PM CET","Collega","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","23","Studente","F","","Team Pandoro"
"2019/12/15 2:09:30 PM CET","Parente","Pandoro, Passito, Torrone, Grana                  - 13 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","24","Lavoratore","F","LC","Team Panettone"
"2019/12/15 2:15:42 PM CET","Collega","Pandoro, Passito, Miele, Grana                - 10 euro","Panettone, Spumante, Cioccolatini, Torrone, Miele - 20 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele                              - 20 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito                    - 13 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","23","Studente","F","Tn","Team Panettone"
"2019/12/15 2:16:08 PM CET","Parente","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","23","Studente","F","Lecce","Team Pandoro"
"2019/12/15 2:18:43 PM CET","Collega","Panettone, Passito, Cioccolatini, Miele, Grana  - 20 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Pandoro, Spumante, Salame, Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Torrone, Grana - 20 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","22","Studente","F","VI","Team Pandoro"
"2019/12/15 2:23:30 PM CET","Collega","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Pandoro, Spumante, Salame,  Miele       - 20 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","23","Lavoratore","M","Br","Team Pandoro"
